client_id,title,name_as_per_id,gender,date_of_birth,age,smoker_status,race,marital_status,qualification,nationality,singapore_pr,id_type,id_no,id_expiry_date,fin_no,fin_expiry_date,languages_spoken,languages_written,email,mobile_no,home_no,office_no,occupation,employment_status,address_type,postal_district,house_block_no,street_name,building_name,unit_no,risk_profile,last_updated
f3f9dc51-091b-45c3-9ee7-a1e71547680d,Ms.,Lori Blake,Female,1990-03-24,35,Smoker,Others,Single,A-Levels,Singaporean,No,NRIC,P1371285A,,,,{English},{English},yjackson@example.org,81941639,,64533806,Teacher,Full-time,Overseas,297165,32959,Woodward Street,Regency Court,#01-32,Level 2,2025-11-21
395ec60f-7472-4f10-959d-37277b37c209,Mr.,Michael Delgado,Male,1969-10-24,56,Non-smoker,Malay,Widowed,Diploma,Singaporean,No,NRIC,N7765865W,,,,"{English,Hokkien,Tamil}",{English},clarknathaniel@example.net,84779830,60002138,60625698,Student,Student,Local,725891,3140,Dominique Roads,Lynn Suites,#45-80,Level 3,2025-11-25
f7b8bd6c-34f1-4848-914e-258a143dbefa,Ms.,Tina Hoover,Female,1998-07-18,27,Non-smoker,Others,Widowed,A-Levels,Singaporean,No,NRIC,F3516149U,,,,{English},{English},hectorruiz@example.org,87201076,,,Teacher,Full-time,Local,310427,680,Timothy Stravenue,Lopez View,#17-65,Level 2,2026-02-23
dbe862cf-ecf0-4ead-b4b5-7bb6b6065791,Mr.,Melvin Williams,Male,1983-01-07,43,Non-smoker,Chinese,Divorced,A-Levels,South Africa,No,Passport,Z4288791E,2035-12-11,U8517158Z,2026-10-10,"{English,Mandarin}","{English,Mandarin}",muellercourtney@example.org,83297811,66958863,67385783,Retired,Retired,Local,157495,979,Rodriguez Mountain,River Point,#17-06,Level 3,2026-02-28
fedd427c-aa02-47af-bc7a-b9329d78e89a,Mr.,Ryan Martin,Male,1970-11-29,55,Smoker,Chinese,Single,Bachelors,Singaporean,No,NRIC,X3495224O,,,,"{Hokkien,Mandarin,Tamil}",{Tamil},snydersonya@example.org,89610911,64690757,,Accountant,Full-time,Local,887601,1993,Jeanette Ville,Green Point,#45-83,Level 2,2025-12-06
a76a0a98-8413-44ab-a165-b4233afff582,Mrs.,Marissa Cameron,Female,1959-08-26,66,Non-smoker,Indian,Single,PhD,Singaporean,No,NRIC,B9099617W,,,,"{English,Hokkien}",{English},dorothy52@example.org,84958501,68459236,,Retired,Retired,Local,410039,0710,Mendoza Motorway,High Suites,#38-20,Level 2,2025-12-09
63f003e5-6647-4d35-9c14-1b898d4862e6,Mr.,Dale Wilson,Male,1990-12-18,35,Non-smoker,Others,Divorced,Bachelors,Greenland,No,Passport,U2989480U,2029-12-12,U6553339L,2027-02-10,"{English,Malay}","{English,Malay}",delgadowayne@example.com,89373634,,,Accountant,Full-time,Local,440203,579,Baldwin River,Price View,#39-04,Level 2,2025-11-08
e75b234e-6fd8-49e5-8261-28e34c64e08f,Ms.,Elizabeth Crawford,Female,1978-07-01,47,Non-smoker,Indian,Widowed,PhD,Singaporean,No,NRIC,G8240866N,,,,{English},{English},kburton@example.net,81595787,,,Business Owner,Full-time,Local,408453,655,Graham Ramp,High Gardens,#44-93,Level 2,2026-02-20
edf16dcd-03d8-4f58-9c96-4d4fea8f75a5,Ms.,Angela Hutchinson,Female,1962-04-29,63,Non-smoker,Chinese,Widowed,PhD,Singaporean,No,NRIC,L9906551R,,,,"{English,Malay}",{Malay},lisa92@example.org,83141074,,,Doctor,Full-time,Overseas,507582,375,Cunningham Stream,Golden Plaza,#28-36,Level 3,2025-12-03
100e0a3a-2993-461d-b39b-5a2b0d80c02d,Mrs.,Kelsey Garcia,Female,2003-09-02,22,Non-smoker,Chinese,Single,A-Levels,Singaporean,No,NRIC,X3380687J,,,,{Cantonese},{Mandarin},william42@example.net,84920619,,60928870,Unemployed,Unemployed,Local,049640,65089,Angelica Mount,Turner Residences,#26-35,Level 2,2025-11-29
2a4df2b8-d118-441e-9dbe-360acd502563,Mrs.,Emily Hernandez,Female,1965-06-13,60,Non-smoker,Malay,Divorced,Diploma,Singaporean,No,NRIC,I4049215J,,,,"{English,Malay}",{Malay},zoliver@example.com,86914926,69750532,,Software Engineer,Full-time,Overseas,612743,237,Darius Inlet,Green Gardens,#04-95,Level 3,2025-12-19
2e24e76d-adbf-4968-a206-52b9bcbd3d11,Mrs.,Lori Johnson,Female,1987-02-04,39,Non-smoker,Chinese,Divorced,Masters,Singaporean,No,NRIC,S1268402N,,,,"{English,Hokkien,Malay}",{English},wtaylor@example.net,83298287,65983553,,Unemployed,Unemployed,Local,271028,9636,Carrie Centers,Garden Plaza,#42-03,Level 3,2025-12-06
9ee6b5c4-dbea-4a31-b343-3110c57bd865,Mr.,Jerry Cook,Male,2003-01-26,23,Non-smoker,Indian,Widowed,Diploma,Northern Mariana Islands,No,Passport,Q1362443J,2035-04-30,O1862811Q,2027-05-29,{English},{English},cochranbrittany@example.com,88902151,60531053,,Business Owner,Self-employed,Local,676979,8832,Woods Ridges,Warner Plaza,#42-95,Level 3,2026-02-28
43e6f345-334b-4332-b4ea-56f3e449234b,Mrs.,Debra Smith,Female,2001-12-09,24,Non-smoker,Others,Divorced,Masters,Lesotho,Yes,NRIC,F0856420N,,,,{Hokkien},{English},carmencooper@example.net,82466135,60969867,,Accountant,Full-time,Local,613288,758,Woodward Courts,Ocean Apartments,#10-71,Level 2,2025-12-28
